feedback,status,subject,enrollment_date,age,country,study_hours_per_week
"Some topics were useful, others were not very relevant.",Dropout,Psychology,19-11-2024,43,USA,13
"The pace was average, not too fast or too slow.",Dropout,Psychology,16-05-2023,42,Brazil,17.3
"Some topics were useful, others were not very relevant.",Dropout,Physics,24-10-2023,34,Germany,5.2
The course was too difficult and confusing.,Dropout,Machine Learning,17-10-2022,32,China,12
I really enjoyed the instructor's teaching style.,Completed,Philosophy,03-03-2023,18,Australia,13.2
The content was clear and well structured.,Completed,Computer Science,30-07-2024,29,China,8.1
The course was very engaging and easy to follow.,Completed,Physics,04-03-2024,28,Brazil,3.8
"Some topics were useful, others were not very relevant.",Dropout,Physics,04-06-2023,27,Australia,5
"Some topics were useful, others were not very relevant.",Completed,Economics,13-02-2024,41,Canada,5.4
There were too many assignments with little explanation.,Dropout,Physics,01-04-2023,29,South Africa,13.9
I liked parts of the course but not everything.,Dropout,Data Science,07-07-2024,25,USA,17.8
I completed all modules and feel more confident now.,Completed,Business,02-08-2024,32,Brazil,4.3
The content was clear and well structured.,Completed,History,17-05-2023,30,South Africa,11.2
"The pace was average, not too fast or too slow.",Dropout,Philosophy,27-09-2024,44,South Africa,6
The course was okay but could be better.,Completed,Philosophy,13-07-2023,39,Australia,13.4
"The pace was average, not too fast or too slow.",Completed,Business,11-10-2022,36,Germany,17.1
I liked parts of the course but not everything.,Completed,Psychology,26-02-2022,42,Canada,10
"Some topics were useful, others were not very relevant.",Completed,Economics,31-08-2024,27,India,6
The course was too difficult and confusing.,Dropout,Computer Science,12-05-2024,32,Germany,2.5
The course was okay but could be better.,Completed,Physics,03-09-2023,20,USA,7
This course helped me a lot in understanding the subject.,Completed,Physics,02-05-2022,37,Japan,2.1
The course was too difficult and confusing.,Dropout,Philosophy,23-07-2023,41,India,16.1
"Some topics were useful, others were not very relevant.",Completed,Business,02-11-2024,22,Canada,15.2
The course was okay but could be better.,Completed,Physics,11-12-2024,43,Germany,13.4
The course was okay but could be better.,Completed,Physics,02-12-2023,23,Canada,17.4
"Some topics were useful, others were not very relevant.",Dropout,History,07-03-2022,38,India,17.4
The instructor did not explain concepts clearly.,Dropout,Computer Science,01-03-2022,45,Japan,15
The course was too difficult and confusing.,Dropout,Physics,23-09-2023,36,Germany,16.7
I found the lectures boring and unhelpful.,Dropout,Philosophy,24-10-2024,36,Japan,15
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,28-07-2022,39,Germany,10.5
I completed all modules and feel more confident now.,Completed,History,23-05-2024,20,Australia,14.9
I liked parts of the course but not everything.,Completed,History,10-07-2022,34,Brazil,10.7
The instructor did not explain concepts clearly.,Dropout,Computer Science,22-04-2024,30,Brazil,11.4
The overall experience was decent but not outstanding.,Dropout,Data Science,03-02-2024,40,UK,8
The overall experience was decent but not outstanding.,Completed,Philosophy,07-02-2024,18,China,13.2
The instructor did not explain concepts clearly.,Dropout,Mathematics,22-04-2023,40,Canada,1.1
The overall experience was decent but not outstanding.,Dropout,Mathematics,13-10-2024,31,Australia,17.3
I completed all modules and feel more confident now.,Completed,Computer Science,11-05-2023,37,China,9
I found the lectures boring and unhelpful.,Dropout,Psychology,23-04-2022,29,USA,5.1
"The pace was average, not too fast or too slow.",Dropout,History,10-02-2024,19,Australia,10.2
This course helped me a lot in understanding the subject.,Completed,Physics,04-07-2022,26,South Africa,14.9
The content was clear and well structured.,Completed,Psychology,21-07-2024,27,Australia,16.7
I lost motivation because the content was overwhelming.,Dropout,Business,22-06-2023,27,USA,1.3
I lost motivation because the content was overwhelming.,Dropout,Economics,11-09-2024,38,Canada,16.9
"The pace was average, not too fast or too slow.",Dropout,History,27-04-2024,27,South Africa,10.1
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,21-02-2023,29,USA,10.6
The course was too difficult and confusing.,Dropout,Mathematics,29-12-2023,34,Germany,4.7
The course was okay but could be better.,Completed,Economics,10-06-2022,29,Canada,19.1
The content was clear and well structured.,Completed,Machine Learning,28-09-2024,35,Japan,7.2
The overall experience was decent but not outstanding.,Dropout,Economics,14-09-2023,40,USA,18.4
The course was okay but could be better.,Completed,Business,28-11-2024,44,USA,8.2
The overall experience was decent but not outstanding.,Completed,Mathematics,17-03-2023,35,Canada,18.9
The overall experience was decent but not outstanding.,Dropout,Physics,30-09-2023,35,Japan,2.7
The course was too difficult and confusing.,Dropout,Physics,27-12-2024,20,Australia,17.5
The instructor did not explain concepts clearly.,Dropout,Mathematics,21-12-2022,27,UK,3
The overall experience was decent but not outstanding.,Completed,Computer Science,11-05-2023,42,India,17
There were too many assignments with little explanation.,Dropout,Machine Learning,20-11-2024,28,UK,10
The instructor did not explain concepts clearly.,Dropout,Machine Learning,28-06-2022,27,Brazil,2.7
I found the lectures boring and unhelpful.,Dropout,Business,31-12-2023,29,Canada,17.1
The course was okay but could be better.,Dropout,Physics,21-03-2022,24,India,16.4
The course was very engaging and easy to follow.,Completed,Computer Science,22-06-2024,35,USA,13.8
The course was too difficult and confusing.,Dropout,Philosophy,14-04-2024,29,Japan,11.4
The course was okay but could be better.,Completed,Computer Science,13-04-2024,41,Brazil,5.5
The course was okay but could be better.,Completed,Psychology,03-09-2022,43,China,15.1
The overall experience was decent but not outstanding.,Dropout,Philosophy,21-07-2022,22,Brazil,18.8
The course was okay but could be better.,Completed,Mathematics,23-04-2022,31,Australia,14
The course was too difficult and confusing.,Dropout,History,03-08-2022,40,Brazil,19.7
The overall experience was decent but not outstanding.,Completed,Machine Learning,05-02-2022,19,China,13.1
The instructor did not explain concepts clearly.,Dropout,Mathematics,10-09-2022,30,China,3.7
There were too many assignments with little explanation.,Dropout,Machine Learning,19-10-2024,29,Brazil,4.2
The overall experience was decent but not outstanding.,Completed,Philosophy,21-02-2024,22,India,11.1
I liked parts of the course but not everything.,Completed,Philosophy,26-06-2022,41,India,1.2
There were too many assignments with little explanation.,Dropout,Business,05-10-2024,22,UK,11.5
The course was very engaging and easy to follow.,Completed,Physics,20-11-2022,22,India,1.9
I completed all modules and feel more confident now.,Completed,Economics,27-11-2023,37,South Africa,15
This course helped me a lot in understanding the subject.,Completed,Economics,06-08-2024,21,UK,12.6
The instructor did not explain concepts clearly.,Dropout,Business,17-01-2023,40,India,7.3
There were too many assignments with little explanation.,Dropout,Economics,29-03-2024,18,Brazil,1.8
There were too many assignments with little explanation.,Dropout,Mathematics,21-06-2023,18,Brazil,15.9
I liked parts of the course but not everything.,Completed,Psychology,12-07-2024,43,Brazil,14.2
The course was very engaging and easy to follow.,Completed,Philosophy,17-02-2022,26,USA,13.1
"Some topics were useful, others were not very relevant.",Completed,History,16-06-2023,24,India,2.8
The course was okay but could be better.,Completed,Business,02-06-2024,43,UK,5.2
"The pace was average, not too fast or too slow.",Completed,Economics,11-11-2024,32,Brazil,7.6
I found the lectures boring and unhelpful.,Dropout,Physics,08-03-2024,39,India,8.9
There were too many assignments with little explanation.,Dropout,Philosophy,17-02-2022,20,USA,16.2
"The pace was average, not too fast or too slow.",Dropout,History,19-01-2022,26,South Africa,16.8
I liked parts of the course but not everything.,Completed,Machine Learning,01-02-2022,24,China,1.3
I really enjoyed the instructor's teaching style.,Completed,Psychology,03-12-2024,36,Germany,14.9
The overall experience was decent but not outstanding.,Dropout,Psychology,23-09-2023,20,Japan,14.5
The instructor did not explain concepts clearly.,Dropout,Computer Science,08-04-2022,29,Canada,6.8
"The pace was average, not too fast or too slow.",Dropout,Physics,05-01-2024,20,Brazil,10
The overall experience was decent but not outstanding.,Dropout,Business,29-03-2023,22,Brazil,10.4
"The pace was average, not too fast or too slow.",Completed,Economics,07-04-2024,44,China,15.2
The course was okay but could be better.,Completed,History,02-11-2022,36,UK,8
There were too many assignments with little explanation.,Dropout,Economics,04-12-2022,40,China,18.1
"The pace was average, not too fast or too slow.",Dropout,Physics,12-11-2022,25,Germany,5
"The pace was average, not too fast or too slow.",Completed,Economics,04-12-2023,31,China,14.8
I liked parts of the course but not everything.,Completed,History,11-10-2024,34,India,12.6
I completed all modules and feel more confident now.,Completed,Business,25-03-2023,33,Australia,14.9
The overall experience was decent but not outstanding.,Completed,Computer Science,17-11-2023,22,USA,5.4
I found the lectures boring and unhelpful.,Dropout,Computer Science,23-10-2023,29,Germany,12.4
"The pace was average, not too fast or too slow.",Dropout,Philosophy,27-09-2024,26,China,14.5
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,20-08-2023,34,Brazil,14
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,24-10-2023,42,USA,16.9
The overall experience was decent but not outstanding.,Dropout,Philosophy,06-10-2024,31,Australia,7.4
The overall experience was decent but not outstanding.,Completed,History,30-12-2023,43,Germany,2.4
"Some topics were useful, others were not very relevant.",Completed,Psychology,17-08-2022,37,Brazil,9.4
This course helped me a lot in understanding the subject.,Completed,Data Science,13-04-2022,36,Canada,7.7
The course was too difficult and confusing.,Dropout,Machine Learning,22-03-2024,43,Canada,16.9
The course was okay but could be better.,Dropout,Philosophy,31-08-2024,38,UK,4.3
The content was clear and well structured.,Completed,Mathematics,09-12-2024,26,China,16
The instructor did not explain concepts clearly.,Dropout,Philosophy,09-12-2022,33,Brazil,8.8
The overall experience was decent but not outstanding.,Dropout,Economics,05-06-2023,31,India,19.1
The instructor did not explain concepts clearly.,Dropout,Data Science,22-02-2023,24,Australia,11.5
The course was okay but could be better.,Dropout,Physics,17-06-2024,41,Canada,8.1
"Some topics were useful, others were not very relevant.",Completed,Computer Science,02-08-2022,29,Germany,6
The course was very engaging and easy to follow.,Completed,Business,17-05-2023,36,UK,18
The overall experience was decent but not outstanding.,Dropout,History,19-09-2024,45,Australia,18.7
The content was clear and well structured.,Completed,Computer Science,06-10-2022,19,Germany,15.2
I completed all modules and feel more confident now.,Completed,Philosophy,09-05-2022,21,Japan,14.1
"Some topics were useful, others were not very relevant.",Completed,Computer Science,11-11-2022,43,China,7.9
There were too many assignments with little explanation.,Dropout,Machine Learning,02-01-2024,28,Canada,11.6
I liked parts of the course but not everything.,Dropout,Computer Science,28-11-2023,45,Germany,11.4
There were too many assignments with little explanation.,Dropout,History,09-01-2023,31,Australia,5.1
"Some topics were useful, others were not very relevant.",Completed,Computer Science,14-11-2024,26,Australia,15.2
I liked parts of the course but not everything.,Dropout,Economics,15-02-2022,44,South Africa,16.8
The overall experience was decent but not outstanding.,Dropout,Philosophy,24-07-2022,37,China,2.2
The course was okay but could be better.,Completed,Business,21-05-2022,22,Japan,13.9
I completed all modules and feel more confident now.,Completed,Machine Learning,21-09-2023,37,UK,7.4
"Some topics were useful, others were not very relevant.",Dropout,Psychology,31-12-2022,34,Canada,10.8
The overall experience was decent but not outstanding.,Completed,Computer Science,12-07-2023,32,South Africa,9.3
The course was okay but could be better.,Completed,Philosophy,17-03-2022,33,India,7.9
The overall experience was decent but not outstanding.,Completed,Psychology,07-03-2023,38,Australia,5.2
"The pace was average, not too fast or too slow.",Completed,Computer Science,05-10-2024,21,Germany,17.3
There were too many assignments with little explanation.,Dropout,Data Science,29-06-2023,42,Japan,17.3
I liked parts of the course but not everything.,Dropout,History,09-05-2023,27,USA,7.6
The overall experience was decent but not outstanding.,Completed,Computer Science,13-08-2024,21,India,13.6
I found the lectures boring and unhelpful.,Dropout,Business,01-06-2023,32,South Africa,17.3
The overall experience was decent but not outstanding.,Completed,Psychology,08-05-2023,39,USA,16.6
"The pace was average, not too fast or too slow.",Completed,Computer Science,01-10-2022,23,Germany,18.9
"The pace was average, not too fast or too slow.",Completed,Business,01-04-2024,26,USA,5.2
I liked parts of the course but not everything.,Completed,Psychology,15-07-2022,30,China,7.2
I liked parts of the course but not everything.,Completed,Physics,06-10-2023,22,Canada,17.4
The course was okay but could be better.,Completed,Business,06-02-2022,44,Japan,15.9
I liked parts of the course but not everything.,Completed,Philosophy,10-09-2023,44,South Africa,7.9
"Some topics were useful, others were not very relevant.",Dropout,History,01-04-2022,22,China,15.7
I really enjoyed the instructor's teaching style.,Completed,Physics,20-04-2024,23,Canada,5.1
I liked parts of the course but not everything.,Completed,Data Science,08-09-2023,18,South Africa,2.9
The overall experience was decent but not outstanding.,Completed,Computer Science,16-07-2022,26,South Africa,13.7
This course helped me a lot in understanding the subject.,Completed,Psychology,12-09-2022,35,Germany,14.6
The course was very engaging and easy to follow.,Completed,Economics,20-03-2023,33,Australia,8.1
The course was very engaging and easy to follow.,Completed,Machine Learning,03-08-2024,18,Canada,12.6
I really enjoyed the instructor's teaching style.,Completed,Data Science,09-06-2022,32,Germany,12.7
The course was too difficult and confusing.,Dropout,Machine Learning,16-06-2024,41,India,18.9
The overall experience was decent but not outstanding.,Completed,Psychology,10-03-2022,33,China,9.2
"The pace was average, not too fast or too slow.",Dropout,Business,05-10-2023,39,USA,8.6
I found the lectures boring and unhelpful.,Dropout,Business,30-04-2023,39,China,15.6
I liked parts of the course but not everything.,Completed,History,27-05-2023,29,Canada,16
This course helped me a lot in understanding the subject.,Completed,Business,31-12-2023,40,China,12.3
I liked parts of the course but not everything.,Dropout,Data Science,19-07-2024,22,UK,11.1
The instructor did not explain concepts clearly.,Dropout,Machine Learning,14-03-2023,25,Germany,16.6
The overall experience was decent but not outstanding.,Dropout,Data Science,02-06-2022,26,Canada,1.9
I completed all modules and feel more confident now.,Completed,Mathematics,05-10-2024,38,Australia,19.5
"Some topics were useful, others were not very relevant.",Dropout,History,06-04-2023,28,South Africa,14.5
I liked parts of the course but not everything.,Completed,Machine Learning,03-07-2023,34,India,4.7
The course was too difficult and confusing.,Dropout,Computer Science,13-04-2023,43,Germany,15.7
The course was okay but could be better.,Completed,Economics,11-11-2022,30,India,10.8
The content was clear and well structured.,Completed,History,01-05-2023,41,South Africa,16.4
I really enjoyed the instructor's teaching style.,Completed,Mathematics,03-11-2024,45,China,8.4
I found the lectures boring and unhelpful.,Dropout,Mathematics,21-09-2022,24,UK,2.4
The course was okay but could be better.,Dropout,Mathematics,13-02-2024,20,USA,12.1
The course was okay but could be better.,Dropout,Philosophy,19-09-2023,30,Germany,9.6
I completed all modules and feel more confident now.,Completed,History,02-02-2024,40,Canada,4.4
I completed all modules and feel more confident now.,Completed,Psychology,06-06-2022,21,China,2.9
I really enjoyed the instructor's teaching style.,Completed,Physics,22-02-2024,32,Canada,10.7
The course was okay but could be better.,Dropout,Mathematics,29-04-2022,24,China,16.7
The overall experience was decent but not outstanding.,Dropout,Physics,29-06-2024,44,Brazil,10.7
"The pace was average, not too fast or too slow.",Dropout,Psychology,14-10-2024,20,Australia,8.3
There were too many assignments with little explanation.,Dropout,Data Science,02-06-2022,26,China,5.6
The course was okay but could be better.,Dropout,Psychology,03-05-2022,21,USA,4.5
"The pace was average, not too fast or too slow.",Dropout,Physics,08-03-2024,18,Canada,1
"Some topics were useful, others were not very relevant.",Completed,Psychology,17-08-2024,33,India,14.9
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,10-06-2024,21,China,5.5
"Some topics were useful, others were not very relevant.",Completed,Mathematics,04-02-2024,18,South Africa,9
I really enjoyed the instructor's teaching style.,Completed,History,15-01-2023,21,South Africa,3.8
"The pace was average, not too fast or too slow.",Completed,Economics,23-11-2024,30,China,1.9
I really enjoyed the instructor's teaching style.,Completed,Economics,09-03-2024,44,Japan,5.2
There were too many assignments with little explanation.,Dropout,History,02-09-2023,38,Germany,16.1
The overall experience was decent but not outstanding.,Completed,History,14-08-2024,27,USA,12.2
"Some topics were useful, others were not very relevant.",Dropout,Data Science,24-10-2023,40,Canada,12.6
"Some topics were useful, others were not very relevant.",Dropout,Psychology,09-03-2022,36,South Africa,13.3
The instructor did not explain concepts clearly.,Dropout,Mathematics,20-11-2023,44,USA,14.4
The course was very engaging and easy to follow.,Completed,Machine Learning,22-05-2022,41,Germany,11.6
I lost motivation because the content was overwhelming.,Dropout,History,19-10-2022,36,Brazil,9.8
I liked parts of the course but not everything.,Dropout,Psychology,25-12-2022,21,Germany,18.5
The overall experience was decent but not outstanding.,Dropout,Physics,26-03-2024,41,UK,15.8
The content was clear and well structured.,Completed,History,08-01-2022,22,UK,3.1
"The pace was average, not too fast or too slow.",Dropout,Economics,21-07-2024,29,Australia,10.8
The overall experience was decent but not outstanding.,Dropout,Physics,12-02-2023,42,Germany,11.4
This course helped me a lot in understanding the subject.,Completed,Philosophy,19-06-2022,18,Brazil,7.9
The course was okay but could be better.,Dropout,Machine Learning,10-09-2024,27,Germany,18.4
The overall experience was decent but not outstanding.,Completed,Physics,08-12-2023,21,India,17.6
The instructor did not explain concepts clearly.,Dropout,Data Science,01-07-2022,22,China,5.6
The overall experience was decent but not outstanding.,Dropout,Business,23-01-2024,34,Japan,14.4
I lost motivation because the content was overwhelming.,Dropout,Business,18-07-2024,21,South Africa,18.6
I liked parts of the course but not everything.,Dropout,Data Science,29-01-2023,19,Germany,8.8
The course was very engaging and easy to follow.,Completed,Philosophy,14-09-2023,20,UK,5.8
The course was very engaging and easy to follow.,Completed,Business,10-07-2022,30,Australia,11.3
"The pace was average, not too fast or too slow.",Dropout,Philosophy,19-10-2023,24,Canada,9.5
I really enjoyed the instructor's teaching style.,Completed,Economics,17-07-2024,42,Brazil,9.7
The course was very engaging and easy to follow.,Completed,Data Science,05-03-2024,26,Canada,6.9
This course helped me a lot in understanding the subject.,Completed,Machine Learning,25-08-2024,42,Canada,1.8
There were too many assignments with little explanation.,Dropout,Psychology,10-05-2024,41,South Africa,7.3
I completed all modules and feel more confident now.,Completed,Business,27-08-2022,42,India,6.7
"The pace was average, not too fast or too slow.",Completed,Data Science,14-09-2023,40,South Africa,14.8
I found the lectures boring and unhelpful.,Dropout,Economics,09-07-2022,29,Brazil,1.4
I completed all modules and feel more confident now.,Completed,Mathematics,17-09-2024,19,South Africa,12.3
The overall experience was decent but not outstanding.,Completed,Psychology,04-09-2024,31,USA,3
I liked parts of the course but not everything.,Dropout,Philosophy,26-08-2024,30,Australia,17.7
I completed all modules and feel more confident now.,Completed,Business,06-05-2024,28,South Africa,3.8
The content was clear and well structured.,Completed,Mathematics,04-03-2024,39,Japan,5
I completed all modules and feel more confident now.,Completed,Data Science,21-02-2023,36,India,12.6
"Some topics were useful, others were not very relevant.",Completed,Economics,16-12-2023,41,Brazil,1.2
"Some topics were useful, others were not very relevant.",Completed,Philosophy,08-01-2023,45,Brazil,2.3
"Some topics were useful, others were not very relevant.",Dropout,Economics,02-09-2024,19,Japan,15.6
I liked parts of the course but not everything.,Completed,Computer Science,18-06-2024,37,Germany,9.9
The overall experience was decent but not outstanding.,Dropout,Philosophy,12-04-2024,22,Brazil,5.2
The overall experience was decent but not outstanding.,Completed,Mathematics,28-06-2024,20,USA,2
This course helped me a lot in understanding the subject.,Completed,Business,10-09-2022,22,China,12.3
There were too many assignments with little explanation.,Dropout,Data Science,13-04-2024,35,UK,6.5
I lost motivation because the content was overwhelming.,Dropout,Physics,11-05-2023,19,UK,5.1
The instructor did not explain concepts clearly.,Dropout,Psychology,16-02-2024,18,Brazil,16.5
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,14-06-2023,40,Canada,13.9
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,06-12-2023,38,UK,4.6
"The pace was average, not too fast or too slow.",Completed,History,24-10-2023,42,UK,12.4
There were too many assignments with little explanation.,Dropout,Economics,05-12-2023,25,South Africa,14.6
The course was too difficult and confusing.,Dropout,History,27-06-2023,26,China,17.8
I completed all modules and feel more confident now.,Completed,Economics,07-09-2024,42,Germany,5.7
The overall experience was decent but not outstanding.,Dropout,Economics,21-01-2022,26,UK,7.9
The content was clear and well structured.,Completed,Economics,14-01-2022,28,Canada,19.5
I completed all modules and feel more confident now.,Completed,Mathematics,18-01-2024,28,India,10.1
"The pace was average, not too fast or too slow.",Completed,Economics,03-07-2024,35,Brazil,1.5
The course was too difficult and confusing.,Dropout,Physics,24-09-2022,23,USA,5.7
I liked parts of the course but not everything.,Dropout,Data Science,10-07-2022,37,Germany,11.6
This course helped me a lot in understanding the subject.,Completed,Philosophy,27-09-2022,35,South Africa,11.8
The content was clear and well structured.,Completed,Economics,14-10-2024,24,USA,5.8
The instructor did not explain concepts clearly.,Dropout,Philosophy,12-01-2024,43,Brazil,4.3
I liked parts of the course but not everything.,Dropout,Philosophy,14-03-2024,27,Australia,3.2
I lost motivation because the content was overwhelming.,Dropout,Physics,10-01-2023,35,China,10.6
The course was very engaging and easy to follow.,Completed,Data Science,26-10-2023,20,India,4.4
I completed all modules and feel more confident now.,Completed,Business,12-06-2022,22,India,3.8
The course was too difficult and confusing.,Dropout,Machine Learning,28-09-2024,29,Australia,8
I really enjoyed the instructor's teaching style.,Completed,History,19-07-2023,34,South Africa,12.8
The course was too difficult and confusing.,Dropout,Psychology,11-04-2024,31,UK,17.6
The course was very engaging and easy to follow.,Completed,Machine Learning,30-12-2023,23,Brazil,13.9
I completed all modules and feel more confident now.,Completed,Psychology,16-12-2022,44,India,5.4
The course was very engaging and easy to follow.,Completed,Computer Science,30-12-2024,42,Germany,6.6
I lost motivation because the content was overwhelming.,Dropout,Data Science,02-02-2024,34,South Africa,3.7
"The pace was average, not too fast or too slow.",Dropout,Physics,25-03-2024,35,India,9.1
The instructor did not explain concepts clearly.,Dropout,Business,01-07-2024,37,UK,5.4
I liked parts of the course but not everything.,Completed,Machine Learning,03-07-2023,41,China,7.5
The overall experience was decent but not outstanding.,Dropout,Computer Science,15-01-2022,21,Germany,1.8
The overall experience was decent but not outstanding.,Dropout,History,13-10-2024,37,South Africa,13.7
The overall experience was decent but not outstanding.,Dropout,Mathematics,19-12-2023,20,Japan,3.5
"The pace was average, not too fast or too slow.",Dropout,Mathematics,24-12-2023,22,Canada,5.3
The overall experience was decent but not outstanding.,Dropout,Computer Science,08-01-2022,44,Australia,11.9
I liked parts of the course but not everything.,Dropout,Philosophy,29-11-2023,34,UK,12.3
The course was okay but could be better.,Dropout,Economics,01-02-2024,28,USA,2.5
The overall experience was decent but not outstanding.,Dropout,Computer Science,20-06-2022,27,Japan,4.1
I liked parts of the course but not everything.,Dropout,Business,30-07-2024,27,USA,19.9
The content was clear and well structured.,Completed,Psychology,15-08-2024,44,Canada,12.1
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,10-12-2023,37,USA,10.8
I found the lectures boring and unhelpful.,Dropout,Mathematics,08-09-2023,38,Japan,19.1
I liked parts of the course but not everything.,Completed,Physics,08-06-2024,40,South Africa,10.1
I completed all modules and feel more confident now.,Completed,Physics,19-09-2023,24,Germany,17.3
"The pace was average, not too fast or too slow.",Completed,Computer Science,04-12-2022,37,Brazil,7.9
The course was okay but could be better.,Dropout,History,22-09-2023,25,China,17.5
There were too many assignments with little explanation.,Dropout,Philosophy,07-04-2022,42,Canada,6.1
The instructor did not explain concepts clearly.,Dropout,Mathematics,24-08-2023,33,Japan,17.4
The course was too difficult and confusing.,Dropout,Data Science,11-08-2023,18,Japan,2.3
I liked parts of the course but not everything.,Completed,Physics,05-09-2024,31,UK,6.5
"Some topics were useful, others were not very relevant.",Dropout,History,11-10-2022,22,Germany,6
The course was too difficult and confusing.,Dropout,Physics,24-04-2024,43,Japan,5.4
The instructor did not explain concepts clearly.,Dropout,Data Science,25-07-2022,39,Germany,3.8
I found the lectures boring and unhelpful.,Dropout,Machine Learning,31-07-2024,23,UK,8.5
The instructor did not explain concepts clearly.,Dropout,Computer Science,04-11-2023,31,Japan,19.4
The course was too difficult and confusing.,Dropout,Machine Learning,04-12-2024,26,UK,18.4
I lost motivation because the content was overwhelming.,Dropout,Business,16-12-2024,41,Australia,9.5
The content was clear and well structured.,Completed,Mathematics,12-05-2023,44,Germany,12.7
I liked parts of the course but not everything.,Completed,Computer Science,18-06-2022,29,Canada,17.4
There were too many assignments with little explanation.,Dropout,Mathematics,02-06-2024,42,UK,15.1
This course helped me a lot in understanding the subject.,Completed,History,27-10-2023,18,India,14.7
The overall experience was decent but not outstanding.,Dropout,Philosophy,02-02-2022,36,India,14.4
"Some topics were useful, others were not very relevant.",Dropout,Psychology,17-07-2024,31,USA,17.4
I completed all modules and feel more confident now.,Completed,Mathematics,13-07-2024,34,South Africa,5.7
The course was okay but could be better.,Completed,Psychology,18-04-2022,40,Australia,4.3
I found the lectures boring and unhelpful.,Dropout,History,06-10-2024,37,UK,14.8
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,15-01-2024,43,Australia,19
The overall experience was decent but not outstanding.,Dropout,Physics,19-09-2023,25,Japan,8.6
The instructor did not explain concepts clearly.,Dropout,Business,11-03-2023,41,Japan,17.4
The content was clear and well structured.,Completed,Economics,18-08-2024,35,Canada,7.4
I lost motivation because the content was overwhelming.,Dropout,Economics,21-07-2022,25,Canada,1.4
This course helped me a lot in understanding the subject.,Completed,Psychology,29-11-2023,25,Canada,2
"Some topics were useful, others were not very relevant.",Dropout,Psychology,27-07-2022,45,UK,3.9
I completed all modules and feel more confident now.,Completed,Data Science,06-02-2024,24,South Africa,4
I lost motivation because the content was overwhelming.,Dropout,Business,02-04-2022,28,USA,8.6
I lost motivation because the content was overwhelming.,Dropout,Mathematics,31-10-2023,21,India,10.3
The course was okay but could be better.,Dropout,Business,27-10-2023,35,South Africa,2
The course was very engaging and easy to follow.,Completed,Psychology,08-11-2022,22,Australia,19
I completed all modules and feel more confident now.,Completed,Machine Learning,11-06-2022,36,Japan,4
I really enjoyed the instructor's teaching style.,Completed,Mathematics,19-10-2023,25,China,16.2
I liked parts of the course but not everything.,Dropout,Economics,04-06-2022,36,USA,17
The course was very engaging and easy to follow.,Completed,Business,03-04-2023,41,Australia,12.6
I really enjoyed the instructor's teaching style.,Completed,Philosophy,21-08-2024,21,Germany,14.1
The course was okay but could be better.,Completed,Computer Science,06-09-2022,30,Brazil,16.2
"The pace was average, not too fast or too slow.",Dropout,Mathematics,23-07-2023,31,Canada,1.3
I really enjoyed the instructor's teaching style.,Completed,History,02-10-2022,45,USA,13.8
"Some topics were useful, others were not very relevant.",Completed,Physics,10-10-2023,22,India,17.6
I liked parts of the course but not everything.,Dropout,History,30-05-2022,28,India,6.5
The course was okay but could be better.,Dropout,Philosophy,29-02-2024,34,Germany,13.7
The overall experience was decent but not outstanding.,Completed,Computer Science,01-08-2024,20,Australia,4.6
"Some topics were useful, others were not very relevant.",Dropout,Data Science,31-10-2024,19,Japan,1.7
I found the lectures boring and unhelpful.,Dropout,Psychology,05-05-2024,41,USA,17.1
The overall experience was decent but not outstanding.,Dropout,Mathematics,21-09-2024,44,China,11
"The pace was average, not too fast or too slow.",Dropout,Philosophy,01-03-2023,19,Australia,16.2
I really enjoyed the instructor's teaching style.,Completed,History,13-05-2023,35,China,3.2
"The pace was average, not too fast or too slow.",Completed,Business,01-07-2022,34,Germany,18.7
The course was okay but could be better.,Dropout,Data Science,21-02-2024,28,Brazil,15.4
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,27-12-2022,34,India,1.2
I liked parts of the course but not everything.,Dropout,Mathematics,04-01-2022,41,China,3.1
I liked parts of the course but not everything.,Completed,Mathematics,31-01-2023,32,Canada,7.7
The course was very engaging and easy to follow.,Completed,Computer Science,22-11-2024,25,India,19.2
The course was too difficult and confusing.,Dropout,History,27-06-2024,34,Japan,12.1
I really enjoyed the instructor's teaching style.,Completed,Psychology,11-12-2023,27,Japan,11.4
I liked parts of the course but not everything.,Completed,Machine Learning,17-06-2023,30,South Africa,6
"Some topics were useful, others were not very relevant.",Dropout,History,14-12-2024,34,Brazil,9.5
"The pace was average, not too fast or too slow.",Dropout,Business,03-10-2024,21,USA,9.1
"Some topics were useful, others were not very relevant.",Completed,Data Science,21-12-2023,39,Japan,16.1
This course helped me a lot in understanding the subject.,Completed,Psychology,25-05-2023,42,USA,10.6
This course helped me a lot in understanding the subject.,Completed,Philosophy,28-10-2022,18,India,3.6
